Date,gdp,inf,int
1981/02,982319,2.228504479,2.07328064
1981/03,996616,5.101777434,2.643332725
1981/04,1002834,3.599360265,2.946432065
1982/01,993543,2.493894835,3.576927942
1982/02,985253,4.101901944,3.758169229
1982/03,985001,2.797385204,3.851868888
1982/04,964178,3.612130841,3.563426284
1983/01,949296,2.625971458,2.646029703
1983/02,953238,2.769080015,2.799289275
1983/03,964227,2.489755162,3.483693518
1983/04,988683,2.22906899,3.824902517
1984/01,1005459,2.180462997,4.159887412
1984/02,1026347,3.846628083,4.170606767
1984/03,1009336,2.790878812,4.832845313
1984/04,1010896,3.249383348,4.92103387
1985/01,1004874,4.174519169,5.023446582
1985/02,997567,4.822214371,4.483916568
1985/03,994933,2.88019909,3.78071471
1985/04,1005573,4.170488541,3.180241244
1986/01,993592,5.732649519,2.886450021
1986/02,1000452,3.232888712,2.653111963
1986/03,1002703,4.330852709,2.373570367
1986/04,1006914,4.023904318,2.134164445
1987/01,1014237,3.745756253,2.108884693
1987/02,1017854,3.728633969,2.101297104
1987/03,1021568,3.252319171,2.107078278
1987/04,1034109,3.371105734,2.124777014
1988/01,1049651,2.401862187,2.362814317
1988/02,1057104,2.975777491,2.70729163
1988/03,1071321,2.991455657,2.995712719
1988/04,1081381,3.2986499,3.421339005
1989/01,1088078,3.478611609,3.670946849
1989/02,1092799,4.093594814,3.955930296
1989/03,1093677,3.405346964,4.034070657
1989/04,1086909,3.037109788,4.208693255
1990/01,1087779,3.526813884,4.220926476
1990/02,1086881,3.087166367,4.222964927
1990/03,1085968,3.149866706,4.150866978
1990/04,1086976,3.877338593,4.127028137
1991/01,1078330,3.372753703,4.026896612
1991/02,1075896,3.680528657,3.938294438
1991/03,1075479,3.549860788,3.923733811
1991/04,1073629,4.331385707,3.835382392
1992/01,1066105,3.16081939,3.728372888
1992/02,1059566,2.943192207,3.433679905
1992/03,1047299,2.800302132,3.037615417
1992/04,1038400,1.342302033,2.886979733
1993/01,1047599,1.894974878,2.765815842
1993/02,1059090,4.068546643,2.762271766
1993/03,1074336,1.678891316,2.801944497
1993/04,1082295,1.386688887,2.543067758
1994/01,1080753,2.096512847,2.445727458
1994/02,1092477,1.748116495,2.554302081
1994/03,1104765,3.505616857,2.608307745
1994/04,1123205,1.997630374,2.921922666
1995/01,1127262,2.241925523,3.075215199
1995/02,1132267,2.377180221,3.234819175
1995/03,1137155,0.825692764,3.31582661
1995/04,1141643,0.90951059,3.289136165
1996/01,1157662,2.193954129,3.337268646
1996/02,1179346,1.973315511,3.638138435
1996/03,1192729,2.275264495,3.642975317
1996/04,1204041,2.307633341,3.65212899
1997/01,1207500,2.619879682,3.766776108
1997/02,1214886,1.762160135,3.694756604
1997/03,1217424,1.575455981,3.520982852
1997/04,1219262,0.700937449,3.461300555
1998/01,1220803,1.310735805,3.297337393
1998/02,1222530,1.407134836,3.354342995
1998/03,1219850,4.033849397,4.705923843
1998/04,1221029,1.939715988,4.262181826
1999/01,1232258,0.744288391,3.674571131
1999/02,1242065,0.317292704,3.217335675
1999/03,1255629,0.281195264,2.791145313
1999/04,1269437,0.594927389,2.579432197
2000/01,1283716,1.557933536,2.383247914
2000/02,1295527,2.376214993,2.44858911
2000/03,1308358,1.861137137,2.452523491
2000/04,1319489,0.982969907,2.459496961
2001/01,1328058,1.937419334,2.446442894
2001/02,1334697,1.42882253,2.457172629
2001/03,1338242,0.314762614,2.257405002
2001/04,1348532,0.532833105,2.171147392
2002/01,1366030,3.259821234,2.330166875
2002/02,1382572,3.332649983,2.668219837
2002/03,1393913,2.770740015,2.797341982
2002/04,1403225,2.640602864,2.954539235
2003/01,1416210,1.404014805,3.005605612
2003/02,1423126,0.681108749,2.897748775
2003/03,1430849,-0.135851128,2.442865566
2003/04,1439103,-1.203515621,1.876152659
2004/01,1460889,1.094701682,1.851954327
2004/02,1481304,0.921166091,1.8888817
2004/03,1505525,0.457420413,1.822274183
2004/04,1521602,0.642228592,1.769404764
2005/01,1537071,0.797028661,1.759551008
2005/02,1564655,1.236044665,1.66213687
2005/03,1585991,1.143463602,1.642651797
2005/04,1596611,0.412584391,1.666346267
2006/01,1620881,0.896637235,1.619097826
2006/02,1647548,1.493509599,1.683178626
2006/03,1671028,2.285245995,1.853228354
2006/04,1697027,0.709656716,2.015548242
2007/01,1723976,1.284087904,2.067132006
2007/02,1737298,2.472784102,2.093346388
2007/03,1758806,2.27546386,2.217274658
2007/04,1784580,2.067550646,2.457172629
2008/01,1797770,2.627456769,2.483088916
2008/02,1817405,3.523203002,2.596353427
2008/03,1825454,3.464227671,2.709421536
2008/04,1817747,0.763285568,2.602407412
2009/01,1788582,1.5485232,2.287786243
2009/02,1776240,2.080907419,1.875243259
2009/03,1783765,1.610720347,1.74366949
2009/04,1799001,0.388954205,1.708411501
2010/01,1818403,1.157867046,1.715173646
2010/02,1832442,0.992753476,1.603517037
2010/03,1848682,0.757005886,1.544979229
2010/04,1868681,0.451468035,1.404000176
2011/01,1890555,1.453351462,1.351027292
2011/02,1899576,1.869213301,1.337909678
2011/03,1908576,1.513542407,1.344944203
2011/04,1924237,1.244018176,1.342344371
2012/01,1936359,1.472677387,1.350288407
2012/02,1952846,1.451303981,1.364324462
2012/03,1958827,0.921980238,1.248722743
2012/04,1969180,1.651815747,1.217395926
